org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId:parseInto(Lorg/joda/time/format/DateTimeParserBucket;Ljava/lang/String;I)I CleanFix
org.joda.time.chrono.ZonedChronology$ZonedDateTimeField:<init>(Lorg/joda/time/DateTimeField;Lorg/joda/time/DateTimeZone;Lorg/joda/time/DurationField;Lorg/joda/time/DurationField;Lorg/joda/time/DurationField;)V NoneFix
org.joda.time.chrono.ZonedChronology$ZonedDurationField:<init>(Lorg/joda/time/DurationField;Lorg/joda/time/DateTimeZone;)V NoneFix
org.joda.time.chrono.ZonedChronology:assemble(Lorg/joda/time/chrono/AssembledChronology$Fields;)V NoneFix
org.joda.time.chrono.ZonedChronology:convertField(Lorg/joda/time/DateTimeField;Ljava/util/HashMap;)Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.ZonedChronology:convertField(Lorg/joda/time/DurationField;Ljava/util/HashMap;)Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.ZonedChronology:useTimeArithmetic(Lorg/joda/time/DurationField;)Z NoneFix
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.field.UnsupportedDurationField:getUnitMillis()J NoneFix
org.joda.time.field.DividedDateTimeField:getDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.ZonedChronology$ZonedDurationField:getUnitMillis()J NoneFix
org.joda.time.format.DateTimeFormat:parseToken(Ljava/lang/String;[I)Ljava/lang/String; NoneFix
org.joda.time.field.ScaledDurationField:getUnitMillis()J NoneFix
org.joda.time.field.DecoratedDateTimeField:getDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.BasicDayOfYearDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.GJDayOfWeekDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.format.FormatUtils:createErrorMessage(Ljava/lang/String;I)Ljava/lang/String; NoneFix
org.joda.time.chrono.AssembledChronology:setFields()V NoneFix
org.joda.time.chrono.AssembledChronology$Fields:<init>()V NoneFix
org.joda.time.chrono.BaseChronology:<init>()V NoneFix
org.joda.time.chrono.AssembledChronology:weekyearOfCentury()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:eras()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.AssembledChronology:centuries()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.AssembledChronology:halfdays()Lorg/joda/time/DurationField; NoneFix
org.joda.time.field.UnsupportedDurationField:getInstance(Lorg/joda/time/DurationFieldType;)Lorg/joda/time/field/UnsupportedDurationField; NoneFix
org.joda.time.Chronology:<init>()V NoneFix
org.joda.time.chrono.AssembledChronology:clockhourOfDay()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:hourOfHalfday()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:weekyears()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.AssembledChronology:minuteOfDay()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.DateTimeZone:forID(Ljava/lang/String;)Lorg/joda/time/DateTimeZone; NoneFix
org.joda.time.chrono.AssembledChronology:clockhourOfHalfday()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:centuryOfEra()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:yearOfEra()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.tz.CachedDateTimeZone:createInfo(J)Lorg/joda/time/tz/CachedDateTimeZone$Info; NoneFix
org.joda.time.tz.CachedDateTimeZone:getInfo(J)Lorg/joda/time/tz/CachedDateTimeZone$Info; NoneFix
org.joda.time.tz.CachedDateTimeZone$Info:getOffset(J)I NoneFix
org.joda.time.chrono.AssembledChronology:era()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.field.DecoratedDurationField:getWrappedField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Composite:decompose(Ljava/util/List;Ljava/util/List;Ljava/util/List;)V NoneFix
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral:estimatePrintedLength()I NoneFix
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral:estimateParsedLength()I NoneFix
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter:estimateParsedLength()I NoneFix
org.joda.time.DurationField:<init>()V NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Composite:<init>(Ljava/util/List;)V NoneFix
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber:estimatePrintedLength()I NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Composite:isParser()Z NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Composite:isPrinter()Z NoneFix
org.joda.time.chrono.BasicMonthOfYearDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.BasicDayOfMonthDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.format.DateTimeFormatter:<init>(Lorg/joda/time/format/DateTimePrinter;Lorg/joda/time/format/DateTimeParser;)V NoneFix
org.joda.time.chrono.AssembledChronology:weekyear()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:weeks()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.AssembledChronology:dayOfYear()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral:parseInto(Lorg/joda/time/format/DateTimeParserBucket;Ljava/lang/String;I)I NoneFix
org.joda.time.field.DecoratedDateTimeField:getWrappedField()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter:parseInto(Lorg/joda/time/format/DateTimeParserBucket;Ljava/lang/String;I)I NoneFix
org.joda.time.format.DateTimeParserBucket$SavedField:<init>(Lorg/joda/time/DateTimeField;I)V NoneFix
org.joda.time.format.DateTimeParserBucket:saveField(Lorg/joda/time/DateTimeFieldType;I)V NoneFix
org.joda.time.format.DateTimeParserBucket:saveField(Lorg/joda/time/format/DateTimeParserBucket$SavedField;)V NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Composite:parseInto(Lorg/joda/time/format/DateTimeParserBucket;Ljava/lang/String;I)I NoneFix
org.joda.time.format.DateTimeFormatter:requireParser()Lorg/joda/time/format/DateTimeParser; NoneFix
org.joda.time.format.DateTimeParserBucket:<init>(JLorg/joda/time/Chronology;Ljava/util/Locale;Ljava/lang/Integer;I)V NoneFix
org.joda.time.chrono.AssembledChronology:millis()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.AssembledChronology:seconds()Lorg/joda/time/DurationField; NoneFix
org.joda.time.DateTimeField:<init>()V NoneFix
org.joda.time.field.ImpreciseDateTimeField$LinkedDurationField:getUnitMillis()J NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Composite:printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;ILorg/joda/time/DateTimeZone;Ljava/util/Locale;)V NoneFix
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral:printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;ILorg/joda/time/DateTimeZone;Ljava/util/Locale;)V NoneFix
org.joda.time.format.FormatUtils:appendPaddedInteger(Ljava/lang/StringBuffer;II)V NoneFix
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber:printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;ILorg/joda/time/DateTimeZone;Ljava/util/Locale;)V NoneFix
org.joda.time.format.DateTimeFormatter:print(Lorg/joda/time/ReadableInstant;)Ljava/lang/String; NoneFix
org.joda.time.format.DateTimeFormatter:printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadableInstant;)V NoneFix
org.joda.time.format.DateTimeFormatter:printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;)V NoneFix
org.joda.time.tz.CachedDateTimeZone:hashCode()I NoneFix
org.joda.time.DateTimeZone:hashCode()I NoneFix
org.joda.time.field.BaseDateTimeField:getType()Lorg/joda/time/DateTimeFieldType; NoneFix
org.joda.time.chrono.AssembledChronology:hours()Lorg/joda/time/DurationField; NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Composite:estimatePrintedLength()I NoneFix
org.joda.time.chrono.AssembledChronology:secondOfDay()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:years()Lorg/joda/time/DurationField; NoneFix
org.joda.time.format.DateTimeFormatter:requirePrinter()Lorg/joda/time/format/DateTimePrinter; NoneFix
org.joda.time.DateTimeZone:getID()Ljava/lang/String; NoneFix
org.joda.time.field.PreciseDurationField:getUnitMillis()J NoneFix
org.joda.time.chrono.AssembledChronology:months()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.AssembledChronology:days()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.ZonedChronology:localToUTC(J)J NoneFix
org.joda.time.chrono.ZonedChronology:getDateTimeMillis(IIIIIII)J NoneFix
org.joda.time.chrono.AssembledChronology:millisOfSecond()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.format.DateTimeFormatter:selectChronology(Lorg/joda/time/Chronology;)Lorg/joda/time/Chronology; NoneFix
org.joda.time.DateTimeZone:getOffsetFromLocal(J)I NoneFix
org.joda.time.DateTimeFieldType$StandardDateTimeFieldType:getField(Lorg/joda/time/Chronology;)Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:dayOfWeek()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.BasicChronology:getMonthOfYear(J)I NoneFix
org.joda.time.field.PreciseDurationDateTimeField:getDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.AssembledChronology:millisOfDay()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.base.BaseDateTime:<init>(IIIIIIILorg/joda/time/Chronology;)V NoneFix
org.joda.time.chrono.BasicMonthOfYearDateTimeField:get(J)I NoneFix
org.joda.time.chrono.AssembledChronology:getDateTimeMillis(IIIIIII)J NoneFix
org.joda.time.chrono.BasicChronology:getDateTimeMillis(IIIIIII)J NoneFix
org.joda.time.chrono.BasicGJChronology:getDaysInYearMonth(II)I NoneFix
org.joda.time.base.BaseDateTime:getChronology()Lorg/joda/time/Chronology; NoneFix
org.joda.time.chrono.BasicChronology:getMaxMonth(I)I NoneFix
org.joda.time.chrono.BasicChronology:getDateMidnightMillis(III)J NoneFix
org.joda.time.chrono.AssembledChronology:minuteOfHour()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.BasicChronology:getDayOfMonth(J)I NoneFix
org.joda.time.chrono.BasicGJChronology:getTotalMillisByYearMonth(II)J NoneFix
org.joda.time.chrono.AssembledChronology:hourOfDay()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.tz.CachedDateTimeZone:getOffset(J)I NoneFix
org.joda.time.chrono.BasicDayOfMonthDateTimeField:get(J)I NoneFix
org.joda.time.chrono.BasicChronology:getDayOfMonth(JII)I NoneFix
org.joda.time.chrono.BasicGJChronology:getMonthOfYear(JI)I NoneFix
org.joda.time.chrono.BasicYearDateTimeField:get(J)I NoneFix
org.joda.time.chrono.BasicChronology:getYearMonthDayMillis(III)J NoneFix
org.joda.time.chrono.GregorianChronology:getApproxMillisAtEpochDividedByTwo()J NoneFix
org.joda.time.chrono.GregorianChronology:getAverageMillisPerYearDividedByTwo()J NoneFix
org.joda.time.base.AbstractDateTime:<init>()V NoneFix
org.joda.time.base.BaseDateTime:getMillis()J NoneFix
org.joda.time.chrono.BasicChronology:getYear(J)I NoneFix
org.joda.time.field.PreciseDurationDateTimeField:getUnitMillis()J NoneFix
org.joda.time.base.AbstractInstant:<init>()V NoneFix
org.joda.time.chrono.GregorianChronology:isLeapYear(I)Z NoneFix
org.joda.time.chrono.BasicChronology:getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo; NoneFix
org.joda.time.chrono.BasicChronology:getYearMillis(I)J NoneFix
org.joda.time.chrono.AssembledChronology:year()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:getBase()Lorg/joda/time/Chronology; NoneFix
org.joda.time.chrono.AssembledChronology:dayOfMonth()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:monthOfYear()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:getParam()Ljava/lang/Object; NoneFix
org.joda.time.chrono.AssembledChronology:getZone()Lorg/joda/time/DateTimeZone; NoneFix
org.joda.time.format.DateTimeFormat:appendPatternTo(Lorg/joda/time/format/DateTimeFormatterBuilder;Ljava/lang/String;)V NegFix
org.joda.time.format.DateTimeFormatterBuilder:appendPattern(Ljava/lang/String;)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.tz.DateTimeZoneBuilder$DSTZone:readFrom(Ljava/io/DataInput;Ljava/lang/String;)Lorg/joda/time/tz/DateTimeZoneBuilder$DSTZone; NegFix
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone:readFrom(Ljava/io/DataInput;Ljava/lang/String;)Lorg/joda/time/tz/DateTimeZoneBuilder$PrecalculatedZone; NoneFix
org.joda.time.tz.DateTimeZoneBuilder$Recurrence:readFrom(Ljava/io/DataInput;)Lorg/joda/time/tz/DateTimeZoneBuilder$Recurrence; NegFix
org.joda.time.DateTime:<init>(IIIIIILorg/joda/time/DateTimeZone;)V NegFix
org.joda.time.tz.DateTimeZoneBuilder:readMillis(Ljava/io/DataInput;)J NegFix
org.joda.time.tz.DateTimeZoneBuilder$DSTZone:<init>(Ljava/lang/String;ILorg/joda/time/tz/DateTimeZoneBuilder$Recurrence;Lorg/joda/time/tz/DateTimeZoneBuilder$Recurrence;)V NegFix
org.joda.time.tz.DateTimeZoneBuilder:readFrom(Ljava/io/DataInput;Ljava/lang/String;)Lorg/joda/time/DateTimeZone; NegFix
org.joda.time.tz.DateTimeZoneBuilder$Recurrence:<init>(Lorg/joda/time/tz/DateTimeZoneBuilder$OfYear;Ljava/lang/String;I)V NegFix
org.joda.time.tz.DateTimeZoneBuilder:readFrom(Ljava/io/InputStream;Ljava/lang/String;)Lorg/joda/time/DateTimeZone; NegFix
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone:<init>(Ljava/lang/String;[J[I[I[Ljava/lang/String;Lorg/joda/time/tz/DateTimeZoneBuilder$DSTZone;)V NegFix
org.joda.time.format.DateTimeFormatterBuilder:appendYear(II)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.format.DateTimeFormatterBuilder:appendSignedDecimal(Lorg/joda/time/DateTimeFieldType;II)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.chrono.GJEraDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NegFix
org.joda.time.field.MillisDurationField:hashCode()I NegFix
org.joda.time.chrono.ZonedChronology:getInstance(Lorg/joda/time/Chronology;Lorg/joda/time/DateTimeZone;)Lorg/joda/time/chrono/ZonedChronology; NegFix
org.joda.time.field.BaseDateTimeField:getLeapDurationField()Lorg/joda/time/DurationField; NegFix
org.joda.time.field.MillisDurationField:getType()Lorg/joda/time/DurationFieldType; NegFix
org.joda.time.format.DateTimeFormatterBuilder:appendMonthOfYear(I)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.chrono.BasicWeekyearDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NegFix
org.joda.time.format.DateTimeFormatterBuilder:appendDayOfMonth(I)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.chrono.AssembledChronology:<init>(Lorg/joda/time/Chronology;Ljava/lang/Object;)V NegFix
org.joda.time.format.DateTimeFormatterBuilder:appendMinuteOfHour(I)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.format.DateTimeFormatterBuilder:appendHourOfDay(I)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.chrono.AssembledChronology$Fields:copyFieldsFrom(Lorg/joda/time/Chronology;)V NegFix
org.joda.time.chrono.AssembledChronology$Fields:isSupported(Lorg/joda/time/DateTimeField;)Z NegFix
org.joda.time.chrono.AssembledChronology$Fields:isSupported(Lorg/joda/time/DurationField;)Z NegFix
org.joda.time.chrono.BaseChronology:eras()Lorg/joda/time/DurationField; NegFix
org.joda.time.DurationFieldType:eras()Lorg/joda/time/DurationFieldType; NegFix
org.joda.time.field.UnsupportedDurationField:isSupported()Z NegFix
org.joda.time.field.MillisDurationField:isSupported()Z NegFix
org.joda.time.format.DateTimeFormatterBuilder:append0(Lorg/joda/time/format/DateTimePrinter;Lorg/joda/time/format/DateTimeParser;)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.field.BaseDurationField:getType()Lorg/joda/time/DurationFieldType; NegFix
org.joda.time.chrono.AssembledChronology:yearOfCentury()Lorg/joda/time/DateTimeField; NegFix
org.joda.time.format.DateTimeFormatterBuilder:appendDecimal(Lorg/joda/time/DateTimeFieldType;II)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.chrono.AssembledChronology:halfdayOfDay()Lorg/joda/time/DateTimeField; NegFix
org.joda.time.tz.CachedDateTimeZone$Info:<init>(Lorg/joda/time/DateTimeZone;J)V NegFix
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber:<init>(Lorg/joda/time/DateTimeFieldType;IZI)V NegFix
org.joda.time.format.DateTimeFormatterBuilder$NumberFormatter:<init>(Lorg/joda/time/DateTimeFieldType;IZ)V NegFix
org.joda.time.field.MillisDurationField:getUnitMillis()J NegFix
org.joda.time.chrono.AssembledChronology:weekOfWeekyear()Lorg/joda/time/DateTimeField; NegFix
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral:<init>(C)V NegFix
org.joda.time.format.DateTimeFormatterBuilder:appendLiteral(C)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.field.BaseDurationField:<init>(Lorg/joda/time/DurationFieldType;)V NegFix
org.joda.time.field.BaseDateTimeField:isSupported()Z NegFix
org.joda.time.format.DateTimeFormatterBuilder:isParser(Ljava/lang/Object;)Z NegFix
org.joda.time.format.DateTimeFormatterBuilder:isPrinter(Ljava/lang/Object;)Z NegFix
org.joda.time.chrono.BasicYearDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NegFix
org.joda.time.format.DateTimeFormatterBuilder:getFormatter()Ljava/lang/Object; NegFix
org.joda.time.format.DateTimeFormatterBuilder:append0(Ljava/lang/Object;)Lorg/joda/time/format/DateTimeFormatterBuilder; NegFix
org.joda.time.field.PreciseDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NegFix
org.joda.time.format.DateTimeFormatterBuilder:toFormatter()Lorg/joda/time/format/DateTimeFormatter; NegFix
org.joda.time.format.DateTimeFormatterBuilder:<init>()V NegFix
org.joda.time.field.ImpreciseDateTimeField:getDurationField()Lorg/joda/time/DurationField; NegFix
org.joda.time.base.BaseDateTime:<init>(IIIIIIILorg/joda/time/DateTimeZone;)V NegFix
org.joda.time.field.BaseDateTimeField:<init>(Lorg/joda/time/DateTimeFieldType;)V NegFix
org.joda.time.DurationFieldType:millis()Lorg/joda/time/DurationFieldType; NegFix
org.joda.time.chrono.AssembledChronology:minutes()Lorg/joda/time/DurationField; NegFix
org.joda.time.field.BaseDurationField:isSupported()Z NegFix
org.joda.time.DateTimeUtils:getInstantChronology(Lorg/joda/time/ReadableInstant;)Lorg/joda/time/Chronology; NegFix
org.joda.time.DateTimeUtils:getInstantMillis(Lorg/joda/time/ReadableInstant;)J NegFix
org.joda.time.chrono.BasicChronology:getMaxMonth()I NegFix
org.joda.time.DateTimeFieldType:millisOfSecond()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.DateTimeFieldType:minuteOfHour()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.DateTimeUtils:getChronology(Lorg/joda/time/Chronology;)Lorg/joda/time/Chronology; NegFix
org.joda.time.DateTimeFieldType:hourOfDay()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.field.FieldUtils:verifyValueBounds(Lorg/joda/time/DateTimeFieldType;III)V NegFix
org.joda.time.chrono.AssembledChronology:secondOfMinute()Lorg/joda/time/DateTimeField; NegFix
org.joda.time.base.BaseDateTime:checkInstant(JLorg/joda/time/Chronology;)J NegFix
org.joda.time.DateTimeFieldType:secondOfMinute()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.field.PreciseDateTimeField:get(J)I NegFix
org.joda.time.base.BaseDateTime:checkChronology(Lorg/joda/time/Chronology;)Lorg/joda/time/Chronology; NegFix
org.joda.time.DateTimeFieldType:dayOfMonth()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.chrono.GregorianChronology:getMinYear()I NegFix
org.joda.time.chrono.GregorianChronology:getMaxYear()I NegFix
org.joda.time.DateTimeFieldType:monthOfYear()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.DateTimeFieldType:year()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.chrono.ISOChronology:withUTC()Lorg/joda/time/Chronology; NegFix
org.joda.time.chrono.ISOChronology:getInstance()Lorg/joda/time/chrono/ISOChronology; NegFix
org.joda.time.chrono.ZonedChronology:getZone()Lorg/joda/time/DateTimeZone; NegFix
org.joda.time.DateTimeZone:getDefault()Lorg/joda/time/DateTimeZone; NegFix
