com.google.javascript.jscomp.CompilationLevel:applySafeCompilationOptions(Lcom/google/javascript/jscomp/CompilerOptions;)V CleanFix
com.google.javascript.jscomp.DefaultPassConfig$73$1:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$73:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:assertAllLoopablePasses(Ljava/util/List;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig:combineChecks(Lcom/google/javascript/jscomp/AbstractCompiler;Ljava/util/List;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:getChecks()Ljava/util/List; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:getCodeRemovingPasses()Ljava/util/List; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:getMainOptimizationLoop()Ljava/util/List; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:isInliningForbidden()Z NoneFix
com.google.javascript.jscomp.DefaultPassConfig:runVariableRenaming(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/VariableMap;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/VariableMap; NoneFix
com.google.javascript.jscomp.FoldConstants:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.MinimizeExitPoints:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy:getReservedCharacters()[C NoneFix
com.google.javascript.jscomp.CheckAccidentalSemicolon:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig:getAdditionalReplacements(Lcom/google/javascript/jscomp/CompilerOptions;)Ljava/util/Map; NoneFix
com.google.javascript.jscomp.PhaseOptimizer$LoopInternal:optimizePasses()V NoneFix
com.google.javascript.jscomp.Compiler:compileInternal()V NoneFix
com.google.javascript.jscomp.Compiler:optimize()V NoneFix
com.google.javascript.jscomp.Compiler:setUnnormalized()V NoneFix
com.google.javascript.jscomp.ConvertToDottedProperties:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ConvertToDottedProperties:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$70:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$78:<init>(Ljava/lang/String;Z)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$78:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$80:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig:createEmptyPass(Ljava/lang/String;)Lcom/google/javascript/jscomp/PassFactory; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:runInSerial([Lcom/google/javascript/jscomp/CompilerPass;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.PhaseOptimizer:consume(Ljava/util/List;)V NoneFix
com.google.javascript.jscomp.RenameLabels$LabelNamespace:<init>()V NoneFix
com.google.javascript.jscomp.RenameLabels$LabelNamespace:<init>(Lcom/google/javascript/jscomp/RenameLabels$1;)V NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:<init>(Lcom/google/javascript/jscomp/RenameLabels;)V NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:enterScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:exitScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:shouldTraverse(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.RenameLabels:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.WarningLevel:addDefaultWarnings(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$10$1:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$8$1:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$8:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.FoldConstants:tryFoldGetProp(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.PassFactory$1:<init>(Lcom/google/javascript/jscomp/PassFactory;Ljava/lang/String;ZLcom/google/javascript/jscomp/PassFactory;)V NoneFix
com.google.javascript.jscomp.PassFactory$1:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.PassFactory:makeOneTimePass()Lcom/google/javascript/jscomp/PassFactory; NoneFix
com.google.javascript.jscomp.RenameVars:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Ljava/lang/String;ZZZLcom/google/javascript/jscomp/VariableMap;[CLjava/util/Set;)V NoneFix
com.google.javascript.jscomp.VariableNameGenerator:<init>(Lcom/google/javascript/jscomp/Scope;)V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:<init>()V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:access$900(Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig;)Z NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setCharset(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setComputePhaseOrdering(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setCreateNameMapFiles(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setCreateSourceMap(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setDefine(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setExterns(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setJs(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setJsOutputFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setJscompDevMode(Lcom/google/javascript/jscomp/CompilerOptions$DevMode;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setJscompError(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setJscompOff(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setJscompWarning(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setLoggingLevel(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setModule(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setModuleOutputPathPrefix(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setModuleWrapper(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setOutputWrapper(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setOutputWrapperMarker(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setPrintAst(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setPrintPassGraph(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setPrintTree(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setPropertyMapInputFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setPropertyMapOutputFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setSummaryDetailLevel(I)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setThirdParty(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setVariableMapInputFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setVariableMapOutputFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$RunTimeStats:<init>(Lcom/google/javascript/jscomp/AbstractCommandLineRunner;)V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:<init>()V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:<init>(Ljava/io/PrintStream;Ljava/io/PrintStream;)V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:createDefineReplacements(Ljava/util/List;Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getCommandLineConfig()Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getErrorPrintStream()Ljava/io/PrintStream; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getInputCharset()Ljava/nio/charset/Charset; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:initOptionsFromFlags(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:setRunOptions(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.CommandLineRunner$Flags$BooleanOptionHandler:<init>(Lorg/kohsuke/args4j/CmdLineParser;Lorg/kohsuke/args4j/OptionDef;Lorg/kohsuke/args4j/spi/Setter;)V NoneFix
com.google.javascript.jscomp.CommandLineRunner$Flags:<init>()V NoneFix
com.google.javascript.jscomp.CommandLineRunner$Flags:access$900(Lcom/google/javascript/jscomp/CommandLineRunner$Flags;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CommandLineRunner:<init>([Ljava/lang/String;)V NoneFix
com.google.javascript.jscomp.CommandLineRunner:<init>([Ljava/lang/String;Ljava/io/PrintStream;Ljava/io/PrintStream;)V NoneFix
com.google.javascript.jscomp.CommandLineRunner:createCompiler()Lcom/google/javascript/jscomp/Compiler; NoneFix
com.google.javascript.jscomp.CompilerOptions:setSummaryDetailLevel(I)V NoneFix
com.google.javascript.jscomp.DefaultCodingConvention:isExported(Ljava/lang/String;Z)Z NoneFix
com.google.javascript.jscomp.DiagnosticGroups:setWarningLevels(Lcom/google/javascript/jscomp/CompilerOptions;Ljava/util/List;Lcom/google/javascript/jscomp/CheckLevel;)V NoneFix
com.google.javascript.jscomp.FoldConstants:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.PrintStreamErrorManager:printSummary()V NoneFix
com.google.javascript.jscomp.ReplaceCssNames:getCssRenamingMap()Lcom/google/javascript/jscomp/CssRenamingMap; NoneFix
com.google.javascript.rhino.Node:getSortedPropTypes()[I NoneFix
com.google.javascript.rhino.Node:toString(Ljava/lang/StringBuilder;ZZZ)V NoneFix
com.google.javascript.rhino.Node:toStringTreeHelper(Lcom/google/javascript/rhino/Node;ILjava/lang/Appendable;)V NoneFix
com.google.javascript.rhino.ScriptOrFnNode:getBaseLineno()I NoneFix
com.google.javascript.rhino.ScriptOrFnNode:getEncodedSourceEnd()I NoneFix
com.google.javascript.rhino.ScriptOrFnNode:getEncodedSourceStart()I NoneFix
com.google.javascript.rhino.ScriptOrFnNode:getEndLineno()I NoneFix
com.google.javascript.rhino.ScriptOrFnNode:getSourceName()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CheckSideEffects:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.Compiler:compile([Lcom/google/javascript/jscomp/JSSourceFile;[Lcom/google/javascript/jscomp/JSModule;Lcom/google/javascript/jscomp/CompilerOptions;)Lcom/google/javascript/jscomp/Result; NoneFix
com.google.javascript.jscomp.Compiler:getCssRenamingMap()Lcom/google/javascript/jscomp/CssRenamingMap; NoneFix
com.google.javascript.jscomp.Compiler:initOptions(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.DiagnosticGroups:<init>()V NoneFix
com.google.javascript.jscomp.PrintStreamErrorManager:<init>(Lcom/google/javascript/jscomp/MessageFormatter;Ljava/io/PrintStream;)V NoneFix
com.google.javascript.jscomp.PrintStreamErrorManager:setSummaryDetailLevel(I)V NoneFix
com.google.javascript.jscomp.Denormalize:maybeCollapseIntoForStatements(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.JSModuleGraph:getDeepestCommonDependencyInclusive(Lcom/google/javascript/jscomp/JSModule;Lcom/google/javascript/jscomp/JSModule;)Lcom/google/javascript/jscomp/JSModule; NoneFix
com.google.javascript.jscomp.ProcessClosurePrimitives:getExportedVariableNames()Ljava/util/Set; NoneFix
com.google.javascript.rhino.Node:appendStringTree(Ljava/lang/Appendable;)V NoneFix
com.google.javascript.rhino.Node:toStringTree()Ljava/lang/String; NoneFix
com.google.javascript.rhino.Node:toStringTreeImpl()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CollapseVariableDeclarations$ExploitAssigns:<init>(Lcom/google/javascript/jscomp/CollapseVariableDeclarations;Lcom/google/javascript/jscomp/CollapseVariableDeclarations$1;)V NoneFix
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses:<init>(Lcom/google/javascript/jscomp/CollapseVariableDeclarations;Lcom/google/javascript/jscomp/CollapseVariableDeclarations$1;)V NoneFix
com.google.javascript.jscomp.CollapseVariableDeclarations:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.Compiler:getRoot()Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.ControlStructureCheck:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.ControlStructureCheck:check(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ControlStructureCheck:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.GoogleCodeRemoval$FindAbstractMethods:<init>(Lcom/google/javascript/jscomp/GoogleCodeRemoval;Lcom/google/javascript/jscomp/GoogleCodeRemoval$1;)V NoneFix
com.google.javascript.jscomp.GoogleCodeRemoval:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ProcessClosurePrimitives$ProvidedName:createDeclarationNode()Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.ProcessClosurePrimitives$ProvidedName:makeAssignmentExprNode(Ljava/lang/String;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.ProcessClosurePrimitives:isNamespacePlaceholder(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.RenameVars$ProcessVars:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations$GatherExtractionInfo:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/MakeDeclaredNamesUnique$1;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter:enterScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter:exitScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$ContextualRenameInverter:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations$GatherExtractionInfo:shouldExtract()Z NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations$PrototypeMemberDeclaration:access$600(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/ExtractPrototypeMemberDeclarations$PrototypeMemberDeclaration; NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations$PrototypeMemberDeclaration:extractDeclaration(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/ExtractPrototypeMemberDeclarations$PrototypeMemberDeclaration; NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ProcessClosurePrimitives$ProvidedName:replace()V NoneFix
com.google.javascript.jscomp.VariableNameGenerator:getNameNewName()Ljava/lang/String; NoneFix
