com.google.javascript.jscomp.DefaultPassConfig:getCodeRemovingPasses()Ljava/util/List; CleanFix
com.google.javascript.jscomp.PeepholeFoldConstants:tryReduceVoid(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.PeepholeReplaceKnownMethods:tryFoldKnownNumericMethods(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.PureFunctionIdentifier:getCallableDefinitions(Lcom/google/javascript/jscomp/DefinitionProvider;Lcom/google/javascript/rhino/Node;)Ljava/util/Collection; NoneFix
com.google.javascript.rhino.Node$NodeMismatch:<init>(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.rhino.Node:propToString(I)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.AliasKeywords:needsAliases()Z NoneFix
com.google.javascript.jscomp.CheckGlobalThis:shouldTraverse(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.CompilationLevel:applyFullCompilationOptions(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.CompilationLevel:setOptionsForCompilationLevel(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$17$1:<init>(Lcom/google/javascript/jscomp/DefaultPassConfig$17;Lcom/google/javascript/jscomp/CheckRegExp;Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$17$1:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$40:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$46:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$47:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$49:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$53:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$54$1:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$55$1:<init>(Lcom/google/javascript/jscomp/DefaultPassConfig$55;Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$55$1:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$60:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$61:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$7$1:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig:getChecks()Ljava/util/List; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:getMainOptimizationLoop()Ljava/util/List; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:getOptimizations()Ljava/util/List; NoneFix
com.google.javascript.jscomp.OptimizeParameters:canChangeSignature(Lcom/google/javascript/jscomp/DefinitionSite;Lcom/google/javascript/jscomp/SimpleDefinitionFinder;)Z NoneFix
com.google.javascript.jscomp.PureFunctionIdentifier$Driver:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Ljava/lang/String;Z)V NoneFix
com.google.javascript.jscomp.PureFunctionIdentifier$Driver:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CheckRegExp:isGlobalRegExpPropertiesUsed()Z NoneFix
com.google.javascript.jscomp.CheckSideEffects:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$83$1:<init>(Lcom/google/javascript/jscomp/DefaultPassConfig$83;Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/VariableMap;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$83$1:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$83:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:runPropertyRenaming(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/VariableMap;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/VariableMap; NoneFix
com.google.javascript.jscomp.CheckRegExp:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.InlineSimpleMethods$1:removeSignature(Ljava/lang/String;)V NoneFix
com.google.javascript.jscomp.MethodCompilerPass$GetExternMethods:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.MethodCompilerPass:access$300(Lcom/google/javascript/jscomp/MethodCompilerPass;Ljava/lang/String;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.OptimizeCalls:addPass(Lcom/google/javascript/jscomp/OptimizeCalls$CallGraphCompilerPass;)Lcom/google/javascript/jscomp/OptimizeCalls; NoneFix
com.google.javascript.jscomp.OptimizeCalls:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.PureFunctionIdentifier:propagateSideEffects()V NoneFix
com.google.javascript.jscomp.NameAnalyzer$ProcessExternals:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.AliasKeywords$AliasSpecification:access$600(Lcom/google/javascript/jscomp/AliasKeywords$AliasSpecification;)Ljava/util/Map; NoneFix
com.google.javascript.jscomp.AliasKeywords:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ClosureCodeRemoval$FindAssertionCalls:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.AliasKeywords$AliasSpecification:<init>(Ljava/lang/String;I)V NoneFix
com.google.javascript.jscomp.AliasKeywords$AliasSpecification:getAliasName()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.AliasKeywords$AliasSpecification:getTokenId()I NoneFix
com.google.javascript.jscomp.AliasKeywords$FindAliasableNodes:<init>(Lcom/google/javascript/jscomp/AliasKeywords;Lcom/google/javascript/jscomp/AliasKeywords$1;)V NoneFix
com.google.javascript.jscomp.AliasKeywords$FindAliasableNodes:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.AliasKeywords:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.AliasKeywords:createAliasSpecifications()Ljava/util/List; NoneFix
com.google.javascript.jscomp.AliasKeywords:isAliasableType(I)Z NoneFix
com.google.javascript.jscomp.RenameVars$ProcessVars:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.PeepholeFoldConstants:optimizeSubtree(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.ClosureCodeRemoval$FindAssertionCalls:<init>(Lcom/google/javascript/jscomp/ClosureCodeRemoval;)V NoneFix
com.google.javascript.jscomp.ClosureCodeRemoval:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CombinedCompilerPass:traverse(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/rhino/Node;Ljava/util/List;)V NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations$GatherExtractionInfo:<init>(Lcom/google/javascript/jscomp/ExtractPrototypeMemberDeclarations;)V NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations$GatherExtractionInfo:shouldExtract()Z NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations$GatherExtractionInfo:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations$PrototypeMemberDeclaration:access$500(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/ExtractPrototypeMemberDeclarations$PrototypeMemberDeclaration; NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations$PrototypeMemberDeclaration:extractDeclaration(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/ExtractPrototypeMemberDeclarations$PrototypeMemberDeclaration; NoneFix
com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.NodeUtil:isPrototypePropertyDeclaration(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:tryFoldLiteralConstructor(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.RenameProperties:getPropertyMap()Lcom/google/javascript/jscomp/VariableMap; NoneFix
com.google.javascript.jscomp.Scope:getGlobalScope()Lcom/google/javascript/jscomp/Scope; NoneFix
com.google.javascript.jscomp.PeepholeReplaceKnownMethods:tryFoldKnownMethods(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.RemoveUnusedVars$CallSiteOptimizer:applyChanges()V NoneFix
com.google.javascript.jscomp.RemoveUnusedVars:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/SimpleDefinitionFinder;)V NoneFix
com.google.javascript.jscomp.PeepholeReplaceKnownMethods:tryFoldArrayJoin(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.PrintStreamErrorManager:printSummary()V NoneFix
com.google.javascript.jscomp.PureFunctionIdentifier$FunctionInformation:setTaintsUnknown()V NoneFix
com.google.javascript.jscomp.Compiler:initOptions(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.FunctionRewriter$EmptyFunctionReducer:<init>(Lcom/google/javascript/jscomp/FunctionRewriter$1;)V NoneFix
com.google.javascript.jscomp.FunctionRewriter$EmptyFunctionReducer:reduce(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.FunctionRewriter$GetterReducer:<init>(Lcom/google/javascript/jscomp/FunctionRewriter$1;)V NoneFix
com.google.javascript.jscomp.FunctionRewriter$GetterReducer:reduce(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.FunctionRewriter$IdentityReducer:<init>(Lcom/google/javascript/jscomp/FunctionRewriter$1;)V NoneFix
com.google.javascript.jscomp.FunctionRewriter$IdentityReducer:reduce(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.FunctionRewriter$Reducer:<init>()V NoneFix
com.google.javascript.jscomp.FunctionRewriter$ReductionGatherer:shouldTraverse(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.FunctionRewriter$ReductionGatherer:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionRewriter$ReturnConstantReducer:<init>(Lcom/google/javascript/jscomp/FunctionRewriter$1;)V NoneFix
com.google.javascript.jscomp.FunctionRewriter$ReturnConstantReducer:reduce(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.FunctionRewriter$SetterReducer:<init>(Lcom/google/javascript/jscomp/FunctionRewriter$1;)V NoneFix
com.google.javascript.jscomp.FunctionRewriter$SetterReducer:reduce(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.FunctionRewriter$SingleReturnStatementReducer:<init>()V NoneFix
com.google.javascript.jscomp.FunctionRewriter:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.NodeUtil:isEmptyFunctionExpression(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.CheckRegExp:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.CheckRegExp:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefinitionsRemover$FunctionExpressionDefinition:<init>(Lcom/google/javascript/rhino/Node;Z)V NoneFix
com.google.javascript.jscomp.GatherRawExports:getExportedVariableNames()Ljava/util/Set; NoneFix
com.google.javascript.jscomp.GatherRawExports:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.GatherRawExports:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$1:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/HotSwapCompilerPass; NoneFix
com.google.javascript.rhino.Node$IntPropListItem:toString()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CrossModuleMethodMotion:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/CrossModuleMethodMotion$IdGenerator;Z)V NoneFix
com.google.javascript.jscomp.CrossModuleMethodMotion:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CollapseAnonymousFunctions$Callback:<init>(Lcom/google/javascript/jscomp/CollapseAnonymousFunctions;Lcom/google/javascript/jscomp/CollapseAnonymousFunctions$1;)V NoneFix
com.google.javascript.jscomp.CollapseAnonymousFunctions$Callback:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CollapseAnonymousFunctions:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.CollapseAnonymousFunctions:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.NodeUtil:checkForStateChangeHelper(Lcom/google/javascript/rhino/Node;ZLcom/google/javascript/jscomp/AbstractCompiler;)Z NoneFix
com.google.javascript.jscomp.AbstractMessageFormatter:getLevelName(Lcom/google/javascript/jscomp/CheckLevel;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.JSError:format(Lcom/google/javascript/jscomp/CheckLevel;Lcom/google/javascript/jscomp/MessageFormatter;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.LightweightMessageFormatter:formatWarning(Lcom/google/javascript/jscomp/JSError;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.MethodCompilerPass$GatherSignatures:processPrototypeParent(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.PrintStreamErrorManager:println(Lcom/google/javascript/jscomp/CheckLevel;Lcom/google/javascript/jscomp/JSError;)V NoneFix
com.google.javascript.jscomp.PeepholeReplaceKnownMethods:optimizeSubtree(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.MethodCompilerPass$GatherSignatures:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.OptimizeReturns:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/SimpleDefinitionFinder;)V NoneFix
com.google.javascript.jscomp.PeepholeRemoveDeadCode:tryFoldExpr(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.rhino.Token:name(I)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.ConstCheck:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.ConstCheck:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ConstCheck:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.InlineSimpleMethods$1:addSignature(Ljava/lang/String;Lcom/google/javascript/rhino/Node;Ljava/lang/String;)V NoneFix
com.google.javascript.jscomp.MethodCompilerPass:addPossibleSignature(Ljava/lang/String;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.MethodCompilerPass:addSignature(Ljava/lang/String;Lcom/google/javascript/rhino/Node;Ljava/lang/String;)V NoneFix
com.google.javascript.jscomp.VarCheck:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ProcessDefines$CollectDefines:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ScopedAliases$Traversal:shouldTraverse(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.PureFunctionIdentifier:markPureFunctionCalls()V NoneFix
com.google.javascript.jscomp.BasicErrorManager:generateReport()V NoneFix
com.google.javascript.jscomp.InlineSimpleMethods$1:reset()V NoneFix
com.google.javascript.jscomp.InlineSimpleMethods$InlineTrivialAccessors:<init>(Lcom/google/javascript/jscomp/InlineSimpleMethods;Lcom/google/javascript/jscomp/InlineSimpleMethods$1;)V NoneFix
com.google.javascript.jscomp.InlineSimpleMethods:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.InvocationsCallback:<init>()V NoneFix
com.google.javascript.jscomp.InvocationsCallback:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.MethodCompilerPass$GatherSignatures:<init>(Lcom/google/javascript/jscomp/MethodCompilerPass;Lcom/google/javascript/jscomp/MethodCompilerPass$1;)V NoneFix
com.google.javascript.jscomp.MethodCompilerPass$GetExternMethods:<init>(Lcom/google/javascript/jscomp/MethodCompilerPass;Lcom/google/javascript/jscomp/MethodCompilerPass$1;)V NoneFix
com.google.javascript.jscomp.MethodCompilerPass:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.MethodCompilerPass:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.OptimizeArgumentsArray:tryReplaceArguments(Lcom/google/javascript/jscomp/Scope;)Z NoneFix
com.google.javascript.rhino.Node:toStringTreeHelper(Lcom/google/javascript/rhino/Node;ILjava/lang/Appendable;)V NoneFix
com.google.javascript.jscomp.CombinedCompilerPass$CallbackWrapper:shouldTraverseIfActive(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CombinedCompilerPass$CallbackWrapper:visitOrMaybeActivate(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.LightweightMessageFormatter:format(Lcom/google/javascript/jscomp/JSError;Z)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.PureFunctionIdentifier$FunctionAnalyzer:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.PureFunctionIdentifier$FunctionAnalyzer:visitCall(Lcom/google/javascript/jscomp/PureFunctionIdentifier$FunctionInformation;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.PureFunctionIdentifier$FunctionInformation:appendCall(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.RenameProperties$ProcessExterns:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.RenameProperties$ProcessProperties:exitScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.RenameProperties:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;ZZLcom/google/javascript/jscomp/VariableMap;[C)V NoneFix
com.google.javascript.jscomp.RenameProperties$ProcessExterns:<init>(Lcom/google/javascript/jscomp/RenameProperties;Lcom/google/javascript/jscomp/RenameProperties$1;)V NoneFix
com.google.javascript.jscomp.RenameProperties$ProcessProperties:<init>(Lcom/google/javascript/jscomp/RenameProperties;)V NoneFix
com.google.javascript.jscomp.RenameProperties$ProcessProperties:<init>(Lcom/google/javascript/jscomp/RenameProperties;Lcom/google/javascript/jscomp/RenameProperties$1;)V NoneFix
com.google.javascript.jscomp.RenameProperties$ProcessProperties:enterScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.RenameProperties$ProcessProperties:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.RenameProperties:access$900(Lcom/google/javascript/jscomp/RenameProperties;)Lcom/google/javascript/jscomp/graph/UndiGraph; NoneFix
com.google.javascript.jscomp.RenameProperties:generateNames(Ljava/util/Set;Ljava/util/Set;)V NoneFix
com.google.javascript.jscomp.RenameProperties:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.AnalyzePrototypeProperties:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/JSModuleGraph;ZZ)V NoneFix
com.google.javascript.jscomp.CrossModuleCodeMotion:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/JSModuleGraph;)V NoneFix
com.google.javascript.jscomp.CrossModuleCodeMotion:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.OptimizeArgumentsArray:enterScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.OptimizeArgumentsArray:exitScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.OptimizeArgumentsArray:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.RemoveUnusedPrototypeProperties:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.RemoveUnusedPrototypeProperties:removeUnusedSymbols(Ljava/util/Collection;)V NoneFix
com.google.javascript.jscomp.AbstractMessageFormatter:getSource()Lcom/google/javascript/jscomp/SourceExcerptProvider; NoneFix
com.google.javascript.jscomp.AbstractMessageFormatter:maybeColorize(Ljava/lang/String;Lcom/google/javascript/jscomp/AbstractMessageFormatter$Color;)Ljava/lang/String; NoneFix
