com.google.javascript.jscomp.FunctionInjector:canInlineReferenceDirectly(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/FunctionInjector$CanInlineResult; CleanFix
com.google.javascript.jscomp.FunctionInjector:inlineCostDelta(Lcom/google/javascript/rhino/Node;Ljava/util/Set;Lcom/google/javascript/jscomp/FunctionInjector$InliningMode;)I NoisyFix
com.google.javascript.jscomp.FunctionInjector:inline(Lcom/google/javascript/rhino/Node;Ljava/lang/String;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/FunctionInjector$InliningMode;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:hasInnerFunctions()Z NoisyFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:hasReferences()Z NoisyFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:<init>()V NoisyFix
com.google.javascript.jscomp.ExpressionDecomposer:isSubexpressionMovable(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/ExpressionDecomposer$DecompositionType; NoisyFix
com.google.javascript.jscomp.ExpressionDecomposer:canExposeExpression(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/ExpressionDecomposer$DecompositionType; NoisyFix
com.google.javascript.jscomp.NodeUtil:canBeSideEffected(Lcom/google/javascript/rhino/Node;)Z NoisyFix
com.google.javascript.jscomp.ExpressionDecomposer:findExpressionRoot(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.InlineFunctions:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/common/base/Supplier;ZZZZZ)V NoisyFix
com.google.javascript.jscomp.MarkNoSideEffectCalls$SetNoSideEffectCallProperty:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.Normalize$NormalizeStatements:extractForInitializer(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.FunctionInjector:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/common/base/Supplier;ZZZ)V NoisyFix
com.google.javascript.jscomp.MarkNoSideEffectCalls$GatherNoSideEffectFunctions:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.NodeUtil:checkForStateChangeHelper(Lcom/google/javascript/rhino/Node;ZLcom/google/javascript/jscomp/AbstractCompiler;)Z NoisyFix
com.google.javascript.jscomp.Normalize$NormalizeStatements:moveNamedFunctions(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.rhino.Node:getAncestors()Lcom/google/javascript/rhino/Node$AncestorIterable; NoisyFix
com.google.javascript.jscomp.NodeUtil:functionCallHasSideEffects(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/AbstractCompiler;)Z NoisyFix
com.google.javascript.jscomp.NodeUtil:mayHaveSideEffects(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/AbstractCompiler;)Z NoisyFix
com.google.javascript.jscomp.NodeUtil:isImmutableValue(Lcom/google/javascript/rhino/Node;)Z NoisyFix
com.google.javascript.jscomp.GoogleCodingConvention:isConstant(Ljava/lang/String;)Z NoisyFix
com.google.javascript.rhino.Node:isNoSideEffectsCall()Z NoisyFix
com.google.javascript.rhino.Node:areBitFlagsSet(II)Z NoisyFix
com.google.javascript.jscomp.Normalize$PropagateConstantAnnotationsOverVars:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.Normalize$FindExposeAnnotations:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.Normalize$NormalizeStatements:annotateConstantsByConvention(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.Normalize$NormalizeStatements:splitVarDeclarations(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher:processFunctionCall(Lcom/google/javascript/rhino/head/ast/FunctionCall;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.NodeUtil:isExprAssign(Lcom/google/javascript/rhino/Node;)Z NoisyFix
com.google.javascript.jscomp.NodeUtil:evaluatesToLocalValue(Lcom/google/javascript/rhino/Node;Lcom/google/common/base/Predicate;)Z NoisyFix
com.google.javascript.jscomp.NodeUtil:isConstantByConvention(Lcom/google/javascript/jscomp/CodingConvention;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoisyFix
com.google.javascript.jscomp.NodeUtil:evaluatesToLocalValue(Lcom/google/javascript/rhino/Node;)Z NoisyFix
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher:processGeneric(Lcom/google/javascript/rhino/head/Node;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.CodeGenerator:add(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.Compiler:parseInputs()Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.rhino.IR:block([Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.GoogleCodingConvention:isConstantKey(Ljava/lang/String;)Z NoisyFix
com.google.javascript.jscomp.NodeUtil:isLiteralValue(Lcom/google/javascript/rhino/Node;Z)Z NoisyFix
com.google.javascript.jscomp.Compiler:init(Ljava/util/List;Ljava/util/List;Lcom/google/javascript/jscomp/CompilerOptions;)V NoisyFix
com.google.javascript.jscomp.Compiler:checkFirstModule(Ljava/util/List;)V NoisyFix
com.google.javascript.jscomp.Compiler:getAllInputsFromModules(Ljava/util/List;)Ljava/util/List; NoisyFix
com.google.javascript.jscomp.JSModule:add(Lcom/google/javascript/jscomp/SourceFile;)V NoisyFix
com.google.javascript.jscomp.JSModule:add(Lcom/google/javascript/jscomp/CompilerInput;)V NoisyFix
com.google.javascript.jscomp.JSModule:getInputs()Ljava/util/List; NoisyFix
com.google.javascript.rhino.Node:getIntProp(I)I NoisyFix
com.google.javascript.rhino.Node:getBooleanProp(I)Z NoisyFix
com.google.javascript.jscomp.JsAst:parse(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoisyFix
com.google.javascript.jscomp.SourceFile:getCode()Ljava/lang/String; NoisyFix
com.google.javascript.jscomp.SourceFile$Builder:buildFromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/SourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile$Preloaded:<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:builder()Lcom/google/javascript/jscomp/SourceFile$Builder; NoisyFix
com.google.javascript.jscomp.SourceFile:fromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/SourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile:setCode(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:setOriginalPath(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:<init>(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.parsing.ParserRunner:parse(Lcom/google/javascript/rhino/jstype/StaticSourceFile;Ljava/lang/String;Lcom/google/javascript/jscomp/parsing/Config;Lcom/google/javascript/rhino/head/ErrorReporter;Ljava/util/logging/Logger;)Lcom/google/javascript/jscomp/parsing/ParserRunner$ParseResult; NoisyFix
com.google.javascript.jscomp.parsing.ParserRunner$ParseResult:<init>(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/head/ast/AstRoot;)V NoisyFix
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher:parseDirectives(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher:processElementGet(Lcom/google/javascript/rhino/head/ast/ElementGet;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.rhino.Node$NodeMismatch:<init>(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator$LabelNameSupplier:get()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.InlineFunctions$FindCandidatesReferences:maybeAddReference(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/jscomp/InlineFunctions$FunctionState;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/JSModule;)V NoneFix
com.google.javascript.jscomp.InlineFunctions:access$900(Lcom/google/javascript/jscomp/InlineFunctions;)Lcom/google/javascript/jscomp/FunctionInjector; NoneFix
com.google.javascript.jscomp.InlineFunctions:decomposeExpressions()V NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector:inject(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Ljava/util/Map;Z)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:hasBlockInliningReferences()Z NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:removeBlockInliningReferences()V NoneFix
com.google.javascript.jscomp.InlineFunctions:mimimizeCost(Lcom/google/javascript/jscomp/InlineFunctions$FunctionState;)Z NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:visitBreakOrContinue(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.RenameLabels$LabelInfo:<init>(I)V NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:getLabelInfo(Ljava/lang/String;)Lcom/google/javascript/jscomp/RenameLabels$LabelInfo; NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:getNameForId(I)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:shouldTraverse(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.RenameLabels$ProcessLabels:visitLabel(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector$ReferencedAfterSideEffect:isLocalName(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.FunctionInjector$CallSiteType$4:prepare(Lcom/google/javascript/jscomp/FunctionInjector;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionInjector$CallSiteType$5:prepare(Lcom/google/javascript/jscomp/FunctionInjector;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionInjector:estimateCallCost(Lcom/google/javascript/rhino/Node;Z)I NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:convertLastReturnToStatement(Lcom/google/javascript/rhino/Node;Ljava/lang/String;)V NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector$ReferencedAfterSideEffect:hasNonLocalSideEffect(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.FunctionInjector:access$200(Lcom/google/javascript/jscomp/FunctionInjector;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/FunctionInjector$CallSiteType; NoneFix
com.google.javascript.jscomp.FunctionInjector:getDecomposer()Lcom/google/javascript/jscomp/ExpressionDecomposer; NoneFix
com.google.javascript.jscomp.FunctionInjector:maybePrepareCall(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:replaceReturns(Lcom/google/javascript/rhino/Node;Ljava/lang/String;Ljava/lang/String;Z)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:getReplacementReturnStatement(Lcom/google/javascript/rhino/Node;Ljava/lang/String;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:hasReturnAtExit(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector:canNameValueChange(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector:findModifiedParameters(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Ljava/util/Set;Ljava/util/Set;Z)Ljava/util/Set; NoneFix
com.google.javascript.jscomp.ExpressionDecomposer:getResultValueName()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.ExpressionDecomposer:moveExpression(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$InlineRenamer:getUniqueName(Ljava/lang/String;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector:getFunctionCallParameterMap(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/common/base/Supplier;)Ljava/util/LinkedHashMap; NoneFix
com.google.javascript.jscomp.InlineFunctions:findCalledFunctions(Lcom/google/javascript/rhino/Node;Ljava/util/Set;)V NoneFix
com.google.javascript.jscomp.FunctionInjector:isDirectCallNodeReplacementPossible(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.InlineFunctions:maybeAddFunction(Lcom/google/javascript/jscomp/InlineFunctions$Function;Lcom/google/javascript/jscomp/JSModule;)V NoneFix
com.google.javascript.jscomp.InlineFunctions$FindCandidatesReferences:checkNameUsage(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ExpressionDecomposer:maybeExposeExpression(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionInjector$CallSiteType$6:prepare(Lcom/google/javascript/jscomp/FunctionInjector;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:replaceReturnWithBreak(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.InlineFunctions:isCandidateUsage(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:aliasAndInlineArguments(Lcom/google/javascript/rhino/Node;Ljava/util/LinkedHashMap;Ljava/util/Set;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.FunctionInjector$1:apply(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.FunctionInjector:inlineFunction(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Ljava/lang/String;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$InlineRenamer:addDeclaredName(Ljava/lang/String;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$InlineRenamer:stripConstIfReplaced()Z NoneFix
com.google.javascript.rhino.IR:breakNode(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.rhino.IR:label(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.InlineFunctions:verifyAllReferencesInlined(Lcom/google/javascript/jscomp/InlineFunctions$FunctionState;)V NoneFix
com.google.javascript.jscomp.ExpressionDecomposer:findInjectionPoint(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector:getFunctionParameterSet(Lcom/google/javascript/rhino/Node;)Ljava/util/Set; NoneFix
com.google.javascript.jscomp.InlineFunctions:removeInlinedFunctions()V NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:getReference(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/jscomp/InlineFunctions$Reference; NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:getSafeFnNode()Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.InlineFunctions$Inline:inlineFunction(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/InlineFunctions$FunctionState;Lcom/google/javascript/jscomp/FunctionInjector$InliningMode;)V NoneFix
com.google.javascript.jscomp.InlineFunctions$Inline:visitCallSite(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/InlineFunctions$FunctionState;)V NoneFix
com.google.javascript.jscomp.InlineFunctions:findCalledFunctions(Lcom/google/javascript/rhino/Node;)Ljava/util/Set; NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:getNamesToAlias()Ljava/util/Set; NoneFix
com.google.javascript.jscomp.InlineFunctions:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.InlineFunctions:resolveInlineConflicts()V NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector:gatherLocalNames(Lcom/google/javascript/rhino/Node;Ljava/util/Set;)V NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:addReference(Lcom/google/javascript/jscomp/InlineFunctions$Reference;)V NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:getModule()Lcom/google/javascript/jscomp/JSModule; NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:getReferencesInternal()Ljava/util/Map; NoneFix
com.google.javascript.jscomp.InlineFunctions$Reference:<init>(Lcom/google/javascript/jscomp/InlineFunctions;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/JSModule;Lcom/google/javascript/jscomp/FunctionInjector$InliningMode;Z)V NoneFix
com.google.javascript.jscomp.InlineFunctions:inliningLowersCost(Lcom/google/javascript/jscomp/InlineFunctions$FunctionState;)Z NoneFix
com.google.javascript.jscomp.InlineFunctions:trimCanidatesUsingOnCost()V NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:getReferences()Ljava/util/Collection; NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:getReferencesThis()Z NoneFix
com.google.javascript.jscomp.ExpressionDecomposer:exposeExpression(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ExpressionDecomposer:extractExpression(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.rhino.IR:labelName(Ljava/lang/String;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.InlineFunctions$CallVisitor:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:rewriteFunctionDeclarations(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:createAssignStatementNode(Ljava/lang/String;Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:getFn()Lcom/google/javascript/jscomp/InlineFunctions$Function; NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:canRemove()Z NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:getLabelNameForFunction(Ljava/lang/String;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:makeLocalNamesUnique(Lcom/google/javascript/rhino/Node;Z)V NoneFix
com.google.javascript.jscomp.FunctionToBlockMutator:mutate(Ljava/lang/String;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Ljava/lang/String;ZZ)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.InlineFunctions$FindCandidatesReferences:visitCallSite(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/InlineFunctions$FunctionState;)V NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:canInlineDirectly()Z NoneFix
com.google.javascript.jscomp.FunctionInjector:doesFunctionMeetMinimumRequirements(Ljava/lang/String;Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.InlineFunctions:isCandidateFunction(Lcom/google/javascript/jscomp/InlineFunctions$Function;)Z NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector:inject(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Ljava/util/Map;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.InlineFunctions$FindCandidatesReferences:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:<init>(Lcom/google/javascript/jscomp/InlineFunctions$1;)V NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:canInline()Z NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:hasExistingFunctionDefinition()Z NoneFix
com.google.javascript.jscomp.InlineFunctions$FunctionState:setFn(Lcom/google/javascript/jscomp/InlineFunctions$Function;)V NoneFix
com.google.javascript.jscomp.InlineFunctions:getOrCreateFunctionState(Ljava/lang/String;)Lcom/google/javascript/jscomp/InlineFunctions$FunctionState; NoneFix
com.google.javascript.jscomp.InlineFunctions:trimCanidatesNotMeetingMinimumRequirements()V NoneFix
com.google.javascript.jscomp.FunctionInjector:setKnownConstants(Ljava/util/Set;)V NoneFix
com.google.javascript.jscomp.NodeUtil:getCount(Lcom/google/javascript/rhino/Node;Lcom/google/common/base/Predicate;Lcom/google/common/base/Predicate;)I NoneFix
com.google.javascript.jscomp.InlineFunctions$FindCandidateFunctions:findFunctionExpressions(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ExpressionDecomposer:decomposeSubExpressions(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/ExpressionDecomposer$DecompositionState;)V NoneFix
com.google.javascript.jscomp.ExpressionDecomposer:getTempConstantValueName()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.AstValidator:validateStatement(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$InlineRenamer:forChildScope()Lcom/google/javascript/jscomp/MakeDeclaredNamesUnique$Renamer; NoneFix
com.google.javascript.jscomp.NodeUtil:getNodeTypeReferenceCount(Lcom/google/javascript/rhino/Node;ILcom/google/common/base/Predicate;)I NoneFix
com.google.javascript.jscomp.CodingConventions$DefaultCodingConvention:isInlinableFunction(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.CodingConventions$Proxy:isInlinableFunction(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector:maybeAddTempsForCallArguments(Lcom/google/javascript/rhino/Node;Ljava/util/Map;Ljava/util/Set;Lcom/google/javascript/jscomp/CodingConvention;)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$InlineRenamer:<init>(Lcom/google/javascript/jscomp/CodingConvention;Lcom/google/common/base/Supplier;Ljava/lang/String;Z)V NoneFix
com.google.javascript.jscomp.MakeDeclaredNamesUnique$InlineRenamer:getReplacementName(Ljava/lang/String;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector$ReferencedAfterSideEffect:visit(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector$ReferencedAfterSideEffect:<init>(Ljava/util/Set;Ljava/util/Set;)V NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector$ReferencedAfterSideEffect:apply(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector$ReferencedAfterSideEffect:getResults()Ljava/util/Set; NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector$ReferencedAfterSideEffect:inLoop()Z NoneFix
com.google.javascript.jscomp.FunctionArgumentInjector:findParametersReferencedAfterSideEffect(Ljava/util/Set;Lcom/google/javascript/rhino/Node;)Ljava/util/Set; NoneFix
com.google.javascript.jscomp.FunctionInjector:callMeetsBlockInliningRequirements(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Ljava/util/Set;)Z NoneFix
com.google.javascript.jscomp.NodeUtil:isWithinLoop(Lcom/google/javascript/rhino/Node;)Z NoneFix
