com.google.javascript.jscomp.CommandLineRunner:createOptions()Lcom/google/javascript/jscomp/CompilerOptions; CleanFix
com.google.javascript.jscomp.NodeTraversal:traverseBranch(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.parsing.JsDocInfoParser:parse()Z NoisyFix
com.google.javascript.rhino.JSDocInfo:isNoCompile()Z NoisyFix
com.google.javascript.rhino.JSDocInfo:isExterns()Z NoisyFix
com.google.javascript.jscomp.parsing.JsDocInfoParser:hasParsedFileOverviewDocInfo()Z NoisyFix
com.google.javascript.rhino.JSDocInfoBuilder:isPopulatedWithFileOverview()Z NoisyFix
com.google.javascript.jscomp.NodeTraversal$AbstractPostOrderCallback:shouldTraverse(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoisyFix
com.google.javascript.jscomp.Compiler:init(Ljava/util/List;Ljava/util/List;Lcom/google/javascript/jscomp/CompilerOptions;)V NoisyFix
com.google.javascript.jscomp.Compiler:checkFirstModule(Ljava/util/List;)V NoisyFix
com.google.javascript.jscomp.Compiler:getAllInputsFromModules(Ljava/util/List;)Ljava/util/List; NoisyFix
com.google.javascript.jscomp.JSModule:add(Lcom/google/javascript/jscomp/SourceFile;)V NoisyFix
com.google.javascript.jscomp.JSModule:add(Lcom/google/javascript/jscomp/CompilerInput;)V NoisyFix
com.google.javascript.jscomp.JSModule:getInputs()Ljava/util/List; NoisyFix
com.google.javascript.jscomp.JsAst:parse(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoisyFix
com.google.javascript.jscomp.SourceFile:getCode()Ljava/lang/String; NoisyFix
com.google.javascript.jscomp.NodeTraversal:traverse(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/NodeTraversal$Callback;)V NoisyFix
com.google.javascript.jscomp.NodeTraversal:traverse(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.DiagnosticGroup:matches(Lcom/google/javascript/jscomp/DiagnosticType;)Z NoisyFix
com.google.javascript.jscomp.DiagnosticType:equals(Ljava/lang/Object;)Z NoisyFix
com.google.javascript.jscomp.SourceFile$Builder:buildFromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/SourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile$Preloaded:<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:builder()Lcom/google/javascript/jscomp/SourceFile$Builder; NoisyFix
com.google.javascript.jscomp.SourceFile:fromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/SourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile:<init>(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.CheckLevel:isOn()Z NoisyFix
com.google.javascript.jscomp.parsing.ParserRunner:parse(Lcom/google/javascript/rhino/jstype/StaticSourceFile;Ljava/lang/String;Lcom/google/javascript/jscomp/parsing/Config;Lcom/google/javascript/rhino/head/ErrorReporter;Ljava/util/logging/Logger;)Lcom/google/javascript/jscomp/parsing/ParserRunner$ParseResult; NoisyFix
com.google.javascript.jscomp.parsing.ParserRunner$ParseResult:<init>(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/head/ast/AstRoot;)V NoisyFix
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher:processAstRoot(Lcom/google/javascript/rhino/head/ast/AstRoot;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher:parseDirectives(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.rhino.Node:addChildToBack(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.JsMessageVisitor:extractMessageFromVariable(Lcom/google/javascript/jscomp/JsMessage$Builder;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.JsMessageVisitor$MalformedException:<init>(Ljava/lang/String;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.JsMessageVisitor$MalformedException:getNode()Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$13:create(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.EmptyMessageBundle:<init>()V NoneFix
com.google.javascript.jscomp.PrintStreamErrorManager:printSummary()V NoneFix
com.google.javascript.jscomp.CompilationLevel:applyFullCompilationOptions(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.CompilationLevel:setOptionsForCompilationLevel(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.CompilerOptions:setInlineFunctions(Lcom/google/javascript/jscomp/CompilerOptions$Reach;)V NoneFix
com.google.javascript.jscomp.CompilerOptions:setInlineVariables(Lcom/google/javascript/jscomp/CompilerOptions$Reach;)V NoneFix
com.google.javascript.jscomp.CompilerOptions:setRemoveUnusedVariables(Lcom/google/javascript/jscomp/CompilerOptions$Reach;)V NoneFix
com.google.javascript.jscomp.PhaseOptimizer:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.BasicErrorManager$LeveledJSErrorComparator:compare(Lcom/google/javascript/jscomp/BasicErrorManager$ErrorWithLevel;Lcom/google/javascript/jscomp/BasicErrorManager$ErrorWithLevel;)I NoneFix
com.google.javascript.jscomp.PrintStreamErrorManager:println(Lcom/google/javascript/jscomp/CheckLevel;Lcom/google/javascript/jscomp/JSError;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$23$1:<init>(Lcom/google/javascript/jscomp/DefaultPassConfig$23;Lcom/google/javascript/jscomp/CheckRegExp;Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$23$1:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CheckRegExp:isGlobalRegExpPropertiesUsed()Z NoneFix
com.google.javascript.jscomp.CheckRegExp:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.JSError:format(Lcom/google/javascript/jscomp/CheckLevel;Lcom/google/javascript/jscomp/MessageFormatter;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.ReplaceMessages:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/MessageBundle;ZLcom/google/javascript/jscomp/JsMessage$Style;Z)V NoneFix
com.google.javascript.jscomp.AbstractMessageFormatter:getLevelName(Lcom/google/javascript/jscomp/CheckLevel;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.LightweightMessageFormatter:formatError(Lcom/google/javascript/jscomp/JSError;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CheckRegExp:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.CheckRegExp:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.JsMessage$Builder:getKey()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.SourceFile:findLineOffsets()V NoneFix
com.google.javascript.jscomp.deps.JsFileLineParser:doParse(Ljava/lang/String;Ljava/io/Reader;)V NoneFix
com.google.javascript.jscomp.JSError:toString()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.JsMessage$Builder:setSourceName(Ljava/lang/String;)Lcom/google/javascript/jscomp/JsMessage$Builder; NoneFix
com.google.javascript.jscomp.JsMessageVisitor:isUnnamedMessageName(Ljava/lang/String;)Z NoneFix
com.google.javascript.rhino.Node:isRegExp()Z NoneFix
com.google.javascript.jscomp.parsing.JsDocInfoParser:parseAnnotation(Lcom/google/javascript/jscomp/parsing/JsDocToken;Ljava/util/List;)Lcom/google/javascript/jscomp/parsing/JsDocToken; NoneFix
com.google.javascript.rhino.JSDocInfo:setDescription(Ljava/lang/String;)V NoneFix
com.google.javascript.rhino.JSDocInfoBuilder:isDescriptionRecorded()Z NoneFix
com.google.javascript.rhino.JSDocInfoBuilder:recordDescription(Ljava/lang/String;)Z NoneFix
com.google.javascript.jscomp.SourceFile:getLine(I)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CommandLineRunner:processArgs([Ljava/lang/String;)Ljava/util/List; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:createDependencyOptions(ZZZLjava/util/List;)Lcom/google/javascript/jscomp/DependencyOptions; NoneFix
com.google.javascript.jscomp.NodeTraversal:makeError(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/CheckLevel;Lcom/google/javascript/jscomp/DiagnosticType;[Ljava/lang/String;)Lcom/google/javascript/jscomp/JSError; NoneFix
com.google.javascript.jscomp.WarningLevel:setOptionsForWarningLevel(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.rhino.JSDocInfo:getDescription()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.Compiler:reconcileOptionsWithGuards()V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$3:create(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/HotSwapCompilerPass; NoneFix
com.google.javascript.jscomp.CompilerOptions$LanguageMode:fromString(Ljava/lang/String;)Lcom/google/javascript/jscomp/CompilerOptions$LanguageMode; NoneFix
com.google.javascript.jscomp.JsMessageVisitor:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;ZLcom/google/javascript/jscomp/JsMessage$Style;Lcom/google/javascript/jscomp/JsMessage$IdGenerator;)V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:access$900(Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig;)Z NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:constructRootRelativePathsMap()Ljava/util/Map; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:processResults(Lcom/google/javascript/jscomp/Result;Ljava/util/List;Lcom/google/javascript/jscomp/CompilerOptions;)I NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:enableTestMode(Lcom/google/common/base/Supplier;Lcom/google/common/base/Supplier;Lcom/google/common/base/Supplier;Lcom/google/common/base/Function;)V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getCompiler()Lcom/google/javascript/jscomp/Compiler; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:run()V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getInputCharset()Ljava/nio/charset/Charset; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getLegacyOutputCharset()Ljava/lang/String; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getOutputCharset2()Ljava/nio/charset/Charset; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:setRunOptions(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.CommandLineRunner:shouldRunCompiler()Z NoneFix
com.google.javascript.jscomp.CompilerOptions:setSummaryDetailLevel(I)V NoneFix
com.google.javascript.jscomp.parsing.ParserRunner:createConfig(ZLcom/google/javascript/jscomp/parsing/Config$LanguageMode;ZLjava/util/Set;)Lcom/google/javascript/jscomp/parsing/Config; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setAcceptConstKeyword(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setAngularPass(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setClosureEntryPoints(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setCommonJSModulePathPrefix(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setCreateNameMapFiles(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setDefine(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setExterns(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setJs(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setJscompDevMode(Lcom/google/javascript/jscomp/CompilerOptions$DevMode;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setLoggingLevel(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setModule(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setModuleWrapper(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setOutputManifest(Ljava/util/List;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setOutputModuleDependencies(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setOutputWrapper(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setPrintPassGraph(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setPrintTree(Z)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setPropertyMapInputFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setPropertyMapOutputFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setSummaryDetailLevel(I)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setTracerMode(Lcom/google/javascript/jscomp/CompilerOptions$TracerMode;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setVariableMapInputFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setVariableMapOutputFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:setWarningsWhitelistFile(Ljava/lang/String;)Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$WarningGuardSpec:access$100(Lcom/google/javascript/jscomp/AbstractCommandLineRunner$WarningGuardSpec;)Ljava/util/List; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:createDefineOrTweakReplacements(Ljava/util/List;Lcom/google/javascript/jscomp/CompilerOptions;Z)V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:createExterns()Ljava/util/List; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getCommandLineConfig()Lcom/google/javascript/jscomp/AbstractCommandLineRunner$CommandLineConfig; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getDiagnosticGroups()Lcom/google/javascript/jscomp/DiagnosticGroups; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:getErrorPrintStream()Ljava/io/PrintStream; NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:isInTestMode()Z NoneFix
com.google.javascript.jscomp.CommandLineRunner$Flags:getJsFiles()Ljava/util/List; NoneFix
com.google.javascript.jscomp.CommandLineRunner$Flags:getWarningGuardSpec()Lcom/google/javascript/jscomp/AbstractCommandLineRunner$WarningGuardSpec; NoneFix
com.google.javascript.jscomp.CommandLineRunner:createCompiler()Lcom/google/javascript/jscomp/Compiler; NoneFix
com.google.javascript.jscomp.CommandLineRunner:createExterns()Ljava/util/List; NoneFix
com.google.javascript.jscomp.CommandLineRunner:initConfigFromFlags([Ljava/lang/String;Ljava/io/PrintStream;)V NoneFix
com.google.javascript.jscomp.Compiler:initOptions(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.Compiler:setLoggingLevel(Ljava/util/logging/Level;)V NoneFix
com.google.javascript.jscomp.CompilerOptions:setTweakProcessing(Lcom/google/javascript/jscomp/CompilerOptions$TweakProcessing;)V NoneFix
com.google.javascript.jscomp.PrintStreamErrorManager:setSummaryDetailLevel(I)V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner$CommandLineConfig:<init>()V NoneFix
com.google.javascript.jscomp.AbstractCommandLineRunner:<init>(Ljava/io/PrintStream;Ljava/io/PrintStream;)V NoneFix
com.google.javascript.jscomp.CommandLineRunner$Flags$BooleanOptionHandler:<init>(Lorg/kohsuke/args4j/CmdLineParser;Lorg/kohsuke/args4j/OptionDef;Lorg/kohsuke/args4j/spi/Setter;)V NoneFix
com.google.javascript.jscomp.CommandLineRunner$Flags$WarningGuardWarningOptionHandler:<init>(Lorg/kohsuke/args4j/CmdLineParser;Lorg/kohsuke/args4j/OptionDef;Lorg/kohsuke/args4j/spi/Setter;)V NoneFix
com.google.javascript.jscomp.CommandLineRunner$Flags:<init>()V NoneFix
com.google.javascript.jscomp.CommandLineRunner:<init>([Ljava/lang/String;Ljava/io/PrintStream;Ljava/io/PrintStream;)V NoneFix
com.google.javascript.jscomp.CompilerOptions:setExtraAnnotationNames(Ljava/lang/Iterable;)V NoneFix
com.google.javascript.rhino.JSDocInfo:declareThrows(Lcom/google/javascript/rhino/JSTypeExpression;)Z NoneFix
com.google.javascript.rhino.JSDocInfoBuilder:recordThrowType(Lcom/google/javascript/rhino/JSTypeExpression;)Z NoneFix
com.google.javascript.jscomp.LightweightMessageFormatter:format(Lcom/google/javascript/jscomp/JSError;Z)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CheckSideEffects:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CheckSideEffects:protectSideEffects()V NoneFix
com.google.javascript.jscomp.BasicErrorManager:generateReport()V NoneFix
com.google.javascript.jscomp.JSError:make(Ljava/lang/String;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/CheckLevel;Lcom/google/javascript/jscomp/DiagnosticType;[Ljava/lang/String;)Lcom/google/javascript/jscomp/JSError; NoneFix
com.google.javascript.jscomp.Compiler:getSourceLine(Ljava/lang/String;I)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.AbstractMessageFormatter:getSource()Lcom/google/javascript/jscomp/SourceExcerptProvider; NoneFix
com.google.javascript.jscomp.AbstractMessageFormatter:maybeColorize(Ljava/lang/String;Lcom/google/javascript/jscomp/AbstractMessageFormatter$Color;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.SourceExcerptProvider$SourceExcerpt$1:get(Lcom/google/javascript/jscomp/SourceExcerptProvider;Ljava/lang/String;ILcom/google/javascript/jscomp/SourceExcerptProvider$ExcerptFormatter;)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.PrintStreamErrorManager:<init>(Lcom/google/javascript/jscomp/MessageFormatter;Ljava/io/PrintStream;)V NoneFix
com.google.javascript.jscomp.Compiler:getSourceFileByName(Ljava/lang/String;)Lcom/google/javascript/jscomp/SourceFile; NoneFix
com.google.javascript.jscomp.CheckGlobalThis:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;)V NoneFix
com.google.javascript.jscomp.CheckGlobalThis:shouldTraverse(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.CheckGlobalThis:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$31:create(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/HotSwapCompilerPass; NoneFix
com.google.javascript.rhino.TokenStream:isKeyword(Ljava/lang/String;)Z NoneFix
com.google.javascript.jscomp.ClosureRewriteClass:isGoogDefineClass(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.CheckSuspiciousCode:<init>()V NoneFix
com.google.javascript.jscomp.CheckSuspiciousCode:checkInvalidIn(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CheckSuspiciousCode:checkMissingSemicolon(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CheckSuspiciousCode:checkNaN(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CheckSuspiciousCode:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.ControlStructureCheck:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.deps.JsFileParser:parseLine(Ljava/lang/String;)Z NoneFix
com.google.javascript.jscomp.WarningLevel:addDefaultWarnings(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.jscomp.ClosureRewriteClass:maybeRewriteClassDefinition(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CheckUnreachableCode$ReachablePredicate:apply(Lcom/google/javascript/jscomp/graph/GraphReachability$EdgeTuple;)Z NoneFix
com.google.javascript.jscomp.CheckUnreachableCode:<init>(Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/CheckLevel;)V NoneFix
com.google.javascript.jscomp.CheckUnreachableCode:enterScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.CheckUnreachableCode:exitScope(Lcom/google/javascript/jscomp/NodeTraversal;)V NoneFix
com.google.javascript.jscomp.CheckUnreachableCode:initScope(Lcom/google/javascript/jscomp/ControlFlowGraph;)V NoneFix
com.google.javascript.jscomp.CheckUnreachableCode:shouldTraverse(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.CheckUnreachableCode:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.graph.GraphReachability$EdgeTuple:<init>(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V NoneFix
