org.apache.commons.math3.optimization.direct.CMAESOptimizer:<init>()V CleanFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:diag(Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:eye(II)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:log(Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:max([D)D NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:min(Lorg/apache/commons/math3/linear/RealMatrix;)D NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:min([D)D NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:ones(II)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:push([DD)V NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:selectColumns(Lorg/apache/commons/math3/linear/RealMatrix;[I)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:sequence(DDD)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:sqrt(Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:square(Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:updateEvolutionPaths(Lorg/apache/commons/math3/linear/RealMatrix;Lorg/apache/commons/math3/linear/RealMatrix;)Z NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix$2:<init>(Lorg/apache/commons/math3/linear/AbstractRealMatrix;)V NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix$2:end()D NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix$2:start(IIIIII)V NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix$2:visit(IID)V NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix:getFrobeniusNorm()D NoneFix
org.apache.commons.math3.linear.MatrixUtils:createColumnRealMatrix([D)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix:scalarAdd(D)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix:getColumnMatrix(I)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.linear.EigenDecomposition:getD()Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.linear.MatrixUtils:createRealDiagonalMatrix([D)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.linear.EigenDecomposition:getV()Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix:setColumnVector(ILorg/apache/commons/math3/linear/RealVector;)V NoneFix
org.apache.commons.math3.optimization.SimpleValueChecker:<init>()V NoneFix
org.apache.commons.math3.optimization.AbstractConvergenceChecker:<init>()V NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer:getMaxEvaluations()I NoneFix
org.apache.commons.math3.linear.MatrixUtils:checkAdditionCompatible(Lorg/apache/commons/math3/linear/AnyMatrix;Lorg/apache/commons/math3/linear/AnyMatrix;)V NoneFix
org.apache.commons.math3.util.Incrementor:getMaximalCount()I NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:getLowerBound()[D NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:getUpperBound()[D NoneFix
org.apache.commons.math3.linear.EigenDecomposition:<init>(Lorg/apache/commons/math3/linear/RealMatrix;)V NoneFix
org.apache.commons.math3.linear.EigenDecomposition:isSymmetric(Lorg/apache/commons/math3/linear/RealMatrix;Z)Z NoneFix
org.apache.commons.math3.linear.EigenDecomposition:transformToTridiagonal(Lorg/apache/commons/math3/linear/RealMatrix;)V NoneFix
org.apache.commons.math3.linear.TriDiagonalTransformer:getMainDiagonalRef()[D NoneFix
org.apache.commons.math3.linear.TriDiagonalTransformer:getSecondaryDiagonalRef()[D NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:<init>(Lorg/apache/commons/math3/optimization/ConvergenceChecker;)V NoneFix
org.apache.commons.math3.linear.EigenDecomposition:findEigenVectors([[D)V NoneFix
org.apache.commons.math3.linear.TriDiagonalTransformer:getQ()Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.linear.EigenDecomposition:<init>([D[D)V NoneFix
org.apache.commons.math3.linear.TriDiagonalTransformer:getQT()Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.linear.TriDiagonalTransformer:<init>(Lorg/apache/commons/math3/linear/RealMatrix;)V NoneFix
org.apache.commons.math3.linear.TriDiagonalTransformer:transform()V NoneFix
org.apache.commons.math3.util.Precision:compareTo(DDD)I NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix:getRow(I)[D NoneFix
org.apache.commons.math3.optimization.SimpleValueChecker:converged(ILorg/apache/commons/math3/optimization/PointValuePair;Lorg/apache/commons/math3/optimization/PointValuePair;)Z NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer:getConvergenceChecker()Lorg/apache/commons/math3/optimization/ConvergenceChecker; NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer:optimize(ILorg/apache/commons/math3/analysis/MultivariateFunction;Lorg/apache/commons/math3/optimization/GoalType;[D)Lorg/apache/commons/math3/optimization/PointValuePair; NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer:getGoalType()Lorg/apache/commons/math3/optimization/GoalType; NoneFix
org.apache.commons.math3.optimization.PointValuePair:getPoint()[D NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer:getStartPoint()[D NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer:optimizeInternal(ILorg/apache/commons/math3/analysis/MultivariateFunction;Lorg/apache/commons/math3/optimization/GoalType;[D)Lorg/apache/commons/math3/optimization/PointValuePair; NoneFix
org.apache.commons.math3.optimization.AbstractConvergenceChecker:getAbsoluteThreshold()D NoneFix
org.apache.commons.math3.optimization.AbstractConvergenceChecker:getRelativeThreshold()D NoneFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer:<init>(Lorg/apache/commons/math3/optimization/ConvergenceChecker;)V NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:<init>([[DZ)V NoneFix
org.apache.commons.math3.optimization.PointValuePair:<init>([DD)V NoneFix
org.apache.commons.math3.optimization.PointValuePair:<init>([DDZ)V NoneFix
org.apache.commons.math3.linear.MatrixUtils:checkSubtractionCompatible(Lorg/apache/commons/math3/linear/AnyMatrix;Lorg/apache/commons/math3/linear/AnyMatrix;)V NoneFix
org.apache.commons.math3.linear.MatrixUtils:createRealMatrix(II)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.util.Pair:getValue()Ljava/lang/Object; NoneFix
org.apache.commons.math3.linear.MatrixUtils:checkMultiplicationCompatible(Lorg/apache/commons/math3/linear/AnyMatrix;Lorg/apache/commons/math3/linear/AnyMatrix;)V NoneFix
org.apache.commons.math3.util.FastMath:cos(D)D NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix:isSquare()Z NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix$5:<init>(Lorg/apache/commons/math3/linear/AbstractRealMatrix;Lorg/apache/commons/math3/linear/RealMatrix;)V NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix$5:visit(IID)V NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix:transpose()Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:walkInRowOrder(Lorg/apache/commons/math3/linear/RealMatrixPreservingVisitor;)D NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix:walkInOptimizedOrder(Lorg/apache/commons/math3/linear/RealMatrixPreservingVisitor;)D NoneFix
org.apache.commons.math3.linear.DefaultRealMatrixPreservingVisitor:start(IIIIII)V NoneFix
org.apache.commons.math3.linear.DefaultRealMatrixPreservingVisitor:<init>()V NoneFix
org.apache.commons.math3.linear.DefaultRealMatrixPreservingVisitor:end()D NoneFix
org.apache.commons.math3.util.Pair:getKey()Ljava/lang/Object; NoneFix
org.apache.commons.math3.linear.MatrixUtils:createRealMatrix([[D)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.util.FastMath:sin(D)D NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:getData()[[D NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:copyOut()[[D NoneFix
org.apache.commons.math3.linear.ArrayRealVector:<init>([D)V NoneFix
org.apache.commons.math3.linear.ArrayRealVector:getEntry(I)D NoneFix
org.apache.commons.math3.util.FastMath$CodyWaite:getK()I NoneFix
org.apache.commons.math3.util.FastMath$CodyWaite:getRemA()D NoneFix
org.apache.commons.math3.util.FastMath$CodyWaite:getRemB()D NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:<init>([[D)V NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:copyIn([[D)V NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:setSubMatrix([[DII)V NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:<init>(II)V NoneFix
org.apache.commons.math3.linear.ArrayRealVector:getDimension()I NoneFix
org.apache.commons.math3.linear.AbstractRealMatrix:<init>()V NoneFix
org.apache.commons.math3.util.FastMath:max(DD)D NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:getRowDimension()I NoneFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:getColumnDimension()I NoneFix
org.apache.commons.math3.linear.MatrixUtils:checkMatrixIndex(Lorg/apache/commons/math3/linear/AnyMatrix;II)V NoneFix
org.apache.commons.math3.util.Precision:equals(DDD)Z NoneFix
org.apache.commons.math3.linear.MatrixUtils:checkRowIndex(Lorg/apache/commons/math3/linear/AnyMatrix;I)V NoneFix
org.apache.commons.math3.linear.MatrixUtils:checkColumnIndex(Lorg/apache/commons/math3/linear/AnyMatrix;I)V NoneFix
org.apache.commons.math3.random.BitsStreamGenerator:nextDouble()D NoneFix
org.apache.commons.math3.util.FastMath:min(II)I NoneFix
org.apache.commons.math3.linear.RealLinearOperator:<init>()V NoneFix
org.apache.commons.math3.util.Incrementor:incrementCount()V NoneFix
org.apache.commons.math3.linear.RealVector:<init>()V NoneFix
org.apache.commons.math3.util.Incrementor$1:<init>()V NoneFix
org.apache.commons.math3.util.Incrementor:<init>(ILorg/apache/commons/math3/util/Incrementor$MaxCountExceededCallback;)V NoneFix
org.apache.commons.math3.util.Precision:equals(DDI)Z NoneFix
org.apache.commons.math3.util.FastMath:abs(J)J NoneFix
org.apache.commons.math3.util.FastMath$lnMant:access$400()[[D NoneFix
org.apache.commons.math3.util.FastMath:sqrt(D)D NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$DoubleIndex:access$000(Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer$DoubleIndex;)I NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:access$100(Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer;)[[D NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$DoubleIndex:<init>(DI)V NegFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:zeros(II)Lorg/apache/commons/math3/linear/RealMatrix; NegFix
org.apache.commons.math3.util.MathArrays:copyOf([II)[I NegFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:createMatrix(II)Lorg/apache/commons/math3/linear/RealMatrix; NegFix
org.apache.commons.math3.util.Pair:<init>(Ljava/lang/Object;Ljava/lang/Object;)V NegFix
org.apache.commons.math3.util.FastMath:cosQ(DD)D NegFix
org.apache.commons.math3.util.FastMath:polySine(D)D NegFix
org.apache.commons.math3.linear.AbstractRealMatrix:<init>(II)V NegFix
org.apache.commons.math3.util.Incrementor:setMaximalCount(I)V NegFix
org.apache.commons.math3.util.Incrementor:<init>()V NegFix
org.apache.commons.math3.util.Incrementor:resetCount()V NegFix
org.apache.commons.math3.util.Incrementor:<init>(I)V NegFix
org.apache.commons.math3.util.MathUtils:checkNotNull(Ljava/lang/Object;)V NegFix
org.apache.commons.math3.util.FastMath:abs(D)D NegFix
