org.joda.time.LocalDateTime:equals(Ljava/lang/Object;)Z CleanFix
org.joda.time.DateTimeZone:setDefault(Lorg/joda/time/DateTimeZone;)V NegFix
org.joda.time.DateTimeZone:getDefault()Lorg/joda/time/DateTimeZone; NegFix
org.joda.time.field.PreciseDurationDateTimeField:getDurationField()Lorg/joda/time/DurationField; NegFix
org.joda.time.chrono.BasicDayOfMonthDateTimeField:getMinimumValue()I NegFix
org.joda.time.DateTimeFieldType:millisOfSecond()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.DateTimeFieldType:minuteOfHour()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.DateTimeFieldType:hourOfDay()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.chrono.AssembledChronology:secondOfMinute()Lorg/joda/time/DateTimeField; NegFix
org.joda.time.field.PreciseDurationDateTimeField:getMinimumValue()I NegFix
org.joda.time.DateTimeFieldType:secondOfMinute()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.field.FieldUtils:verifyValueBounds(Lorg/joda/time/DateTimeField;III)V NegFix
org.joda.time.field.PreciseDurationDateTimeField:getUnitMillis()J NegFix
